Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
333.080000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.100000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.110000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.130000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.140000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.160000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.170000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.190000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.200000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.220000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.230000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.250000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.260000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.280000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.290000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.310000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.320000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.340000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
333.350000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
333.370000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
333.380000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
333.400000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
333.410000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
333.430000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
333.440000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
333.460000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
333.470000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.490000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.500000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.520000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.530000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.550000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.560000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.580000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.590000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.610000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.620000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.640000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.650000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
333.670000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
